FID,PARENT,STATUS,LENGTH,GREENBOOK,HIGHWAY,GIS,JURISDICTI,QC_NOTE,FUN_CLASS,GRID,MIN_STATIO,MAX_STATIO,COUNCIL,DISTRICT1,District,NO_LABEL,RTE_SYS_ED,Shape__Length
2964,HAROL4, ,115,Harold Pl,HAROLD PL,1,PRIVATE WAY, ,LO,0,0,115,2,3-05,3-05,0, ,47.7002509861442
2965,INDIA1, ,981,India St,INDIA ST,1,PUBLIC WAY, ,AR,0,0,986,1,1-1C,1-1C,1, ,404.694008382249
2966,LAWRE2, ,334,Lawrence St,LAWRENCE ST CH N,1,PUBLIC WAY, ,LO,0,0,334,1,1-1A,1-1A,1, ,137.715607039578
2967,OAKDA4, ,256,Oakdale Ter,OAKDALE TER,1,PRIVATE WAY, ,LO,0,0,256,6,2-02,2-02,0, ,105.601870812352
2968,ROUND1, ,1537,Round Hill St,ROUNDHILL ST,1,PUBLIC WAY, ,LO,0,0,1537,6,1-10A,1-10A,0, ,633.496220193669
2969,UNITY2, ,142,Unity Ct,UNITY CT,1,PRIVATE WAY, ,LO,0,0,142,1,1-1B,1-1B,1, ,58.6380337162361
2970,WESTM1, ,1114,Westminster Ave,WESTMINSTER AV,1,PUBLIC WAY, ,LO,0,0,1114,7,1-10B,1-10B,1, ,459.01977122656
2971,WEST 39, ,142,West Hill Pl,WEST HILL PL,1,PRIVATE WAY, ,LO,0,0,142,8,1-1B,1-1B,1, ,58.6100050156146
2972,LILA 1, ,1034,Lila Rd,LILA RD,1,PUBLIC WAY, ,LO,0,0,1034,6,2-02,2-02,0, ,426.81161537385
2973,WEST 28, ,381,West Sorrento St,WEST SORRENTO ST,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,381,9,2-04,2-04,1, ,157.433855026168
2974,LEDGE1, ,1184,Ledge Hill Rd,LEDGE HILL RD,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,1184,6,2-06,2-06,0, ,487.413787543
2975,HARRI13,ADDED BWT 4/16/07,637,Harrison Archway,HARRISON ARCHWAY,1,PUBLIC WAY, ,LO,0,0,637,2,1-1C,1-1C,0, ,262.583219035334
2976,BEVER2, ,790,Beverly St.,BEVERLY ST,1,PUBLIC WAY,ADDED 3-4-14,LO,0,0,790,1,1-1B,1-1B,1, ,325.94817762106
2977,SURFA2, ,1240, ,SURFACE ARTERY RD,1,STATE,ADDED 4-09-07,CO,0,0,1054,1,1-1B,1-1B,1, ,511.58711376342
2978,REV A1,ADDED 4-2-07,210, ,REV ANTHONY CIAO FW,1,PUBLIC WAY, ,LO,0,0,210,1,1-09,1-09,0, ,86.5241905711018
2979,SUSI 1, ,385, ,SUSI YARD,1,PRIVATE WAY,ADDED 4-2-07,LO,0,0,385,4,3-03,3-03,1, ,158.857419410234
2980,EATON2, ,157, ,EATONIA ST,1,PUBLIC WAY, ,LO,0,0,157,9,2-04,2-04,1, ,64.9595940522641
2981,DIGHT2,ADDED BWT 4/9/07,255, ,DIGHTON ST,1,PUBLIC WAY, ,LO,0,0,255,9,2-04,2-04,1, ,105.248337966273
2982,BOWDO5,ADDED BWT 4/9/07,325, ,BOWDOIN ST DO,1,PUBLIC WAY, ,AR,0,0,325,3,3-03,3-03,0, ,133.733432477267
2983,EDISO3,ADDED BWT 4/9/07,151, ,EDISON GREEN N,1,PUBLIC WAY, ,LO,0,0,151,2,3-03,3-03,1, ,62.2848165676162
2984,COWIN2,ADDED BWT 4/9/07,193,Cowing St,COWING ST,1,PRIVATE WAY, ,LO,0,0,193,6,2-06,2-06,0, ,79.6092020701888
2985,ST TH3, ,1036,St Theresa Ave,ST THERESA AV,1,PRIVATE WAY,ADDED BWT 4/9/07,LO,0,0,1036,6,2-06,2-06,0, ,426.829562384405
2986,ST TH1, ,1911,St Theresa Ave,ST THERESA AV,1,PUBLIC WAY, ,CO,0,0,1911,6,2-06,2-06,0, ,786.955487293347
2987,CLEME3,ADDED BWT 4/9/07,265, ,CLEMENT AV,1,PRIVATE WAY,ADDED BWT 4/9/07,LO,0,0,265,6,2-06,2-06,0, ,109.141089122999
2988,UNION1, ,796,Union Ave,UNION AV,1,PUBLIC WAY, ,LO,0,0,796,6,2-02,2-02,1, ,328.535683660599
2989,UNION9, ,317,Union Ave,UNION AV,1,PRIVATE WAY,ADDED BWT 4/9/07,LO,0,0,317,6,2-02,2-02,1, ,130.458389519023
2990,NEW M1,ADDED BWT 4/9/07,364,New Minton St,NEW MINTON ST,1,PUBLIC WAY,ADDED BWT 4/9/07,LO,0,0,364,6,2-02,2-02,1, ,149.87942251173
2991,RUMFO1, ,280,Rumford Rd,RUMFORD RD,1,PUBLIC WAY, ,LO,0,0,280,6,2-06,2-06,0, ,115.177215796339
2992,RUMFO2, ,260,Rumford Rd,RUMFORD RD,1,PRIVATE WAY,ADDED BWT 4/9/07,LO,0,0,260,6,2-06,2-06,0, ,107.165602757855
2993,ARBOR7, ,3354,ARBORWAY SERVICE RD,ARBORWAY SERVICE RD,1,DCR,ADDED BWT 4/10/07,LO,0,0,3354,6,2-02,2-02,0, ,1383.39533394685
2994,GOULD1, ,1321,Gould St,GOULD ST WR,1,PUBLIC WAY, ,LO,0,0,1321,6,2-06,2-06,0, ,543.780453723816
2995,GOULD4, ,251,Gould St,GOULD ST WR,1,PRIVATE WAY, ,LO,0,0,251,6,2-06,2-06,0, ,103.197579019862
2996,LORET1, ,551,Lorette St,LORETTE ST,1,PUBLIC WAY, ,LO,0,0,551,6,2-06,2-06,0, ,227.271935020996
2997,LORET2, ,144,Lorette St,LORETTE ST,1,PRIVATE WAY,ADDED BWT 4/10/07,LO,0,0,144,6,2-06,2-06,0, ,59.4229354946139
2998,HARBO5, ,341, ,HARBORVIEW LN,1,PUBLIC WAY,ADDED BWT 4/9/07,LO,0,0,341,2,3-05,3-05,0, ,157.874464840765
2999,PARK 21, ,263,PARK LN,PARK LN,1,PUBLIC WAY,ADDED BWT 4/9/07,LO,0,0,263,2,3-05,3-05,0, ,109.853611236507
3000,COSTE1,ADDED BWT 4/16/07,586, ,COSTELLO CR,1,PRIVATE WAY, ,LO,0,0,586,2,3-05,3-05,0, ,241.488046878416
3001,EVERE3, ,1116,Everett St,EVERETT ST BR,1,PUBLIC WAY/DCR, ,AR,0,0,1116,9,2-04,2-04,0, ,461.156835098529
3002,EVERE10, ,2704,Everett St,EVERETT ST BR,1,PUBLIC WAY/DCR, ,AR,0,0,2704,9,2-04,2-04,1, ,1117.38955483473
3003,FRANK7, ,2139,Franklin St,FRANKLIN ST BR,1,PUBLIC WAY, ,CO,0,0,2139,9,2-04,2-04,1, ,883.68729338927
3004,FRANK17, ,254,Franklin St,FRANKLIN ST BR,1,PUBLIC WAY, ,CO,0,0,254,9,2-04,2-04,0, ,105.182292814488
3005,LEON 1, ,909,Leon St,LEON ST,1,PRIVATE WAY, ,LO,0,0,909,8,1-10A,1-10A,1, ,375.768493530698
3006,N ST 1, ,2369,N St,N ST,1,PUBLIC WAY, ,LO,0,0,2369,2,3-05,3-05,1, ,978.909749810047
3007,LEONA1, ,980,Leonard St,LEONARD ST,1,PUBLIC WAY, ,LO,0,0,980,3,3-03,3-03,0, ,403.595536172786
3008,NAHAN1, ,1069,Nahant Ave,NAHANT AV,1,PUBLIC WAY, ,LO,0,0,1069,3,3-07,3-07,0, ,439.769989607543
3009,PRENT1, ,976,Prentiss St,PRENTISS ST,1,PUBLIC WAY, ,LO,0,0,976,8,"1-10A, 1-10B","1-10A, 1-10B",1, ,398.449644432341
3010,LEONA2, ,134,Leonard Ct,LEONARD CT,1,PRIVATE WAY, ,LO,0,0,134,3,3-03,3-03,0, ,55.1171481552139
3011,SPEED2, ,268,Speedway Ave,SPEEDWAY AV,1,PRIVATE WAY, ,LO,0,0,268,9,2-04,2-04,0, ,110.625841467167
3012,PRESB1, ,141,Presby Pl,PRESBY PL,1,PRIVATE WAY, ,LO,0,0,141,7,1-10B,1-10B,0, ,58.2218260641841
3013,NANCI1, ,343,Nancia St,NANCIA ST,1,PUBLIC WAY, ,LO,0,0,343,1,1-09,1-09,0, ,141.600713813557
3014,SPENC1, ,2233,Spencer St,SPENCER ST,1,PUBLIC WAY, ,CO,0,0,2233,4,"3-03, 3-07","3-03, 3-07",1, ,921.952165982359
3015,NANTA1, ,634,Nantasket Ave,NANTASKET AV,1,PRIVATE WAY, ,LO,0,0,634,9,2-04,2-04,1, ,261.8942479073
3016,SPICE1, ,442,Spice St,SPICE ST,1,PUBLIC WAY, ,LO,0,0,442,1,1-1A,1-1A,1, ,182.505710904964
3017,LEONA3, ,143,Leonard Pl,LEONARD PL,1,PRIVATE WAY, ,LO,0,0,143,2,3-05,3-05,1, ,58.9945044982218
3018,SPINN1, ,331,Spinney St,SPINNEY ST,1,PUBLIC WAY, ,LO,0,0,331,6,2-06,2-06,0, ,136.507379514152
3019,PRESC1, ,470,Prescott St,PRESCOTT ST CH,1,PUBLIC WAY, ,LO,0,0,470,1,1-1A,1-1A,0, ,194.320784989635
3020,SPOFF1, ,253,Spofford Rd,SPOFFORD RD,1,PUBLIC WAY, ,LO,0,0,253,9,2-04,2-04,1, ,104.38602351588
3021,SPRAG1, ,1993,Sprague St,SPRAGUE ST,1,PUBLIC WAY, ,AR,0,0,1993,5,2-08,2-08,0, ,821.502549963469
3022,SPRAG2, ,247,Sprague Pl,SPRAGUE PL,1,PRIVATE WAY, ,LO,0,0,247,5,2-08,2-08,0, ,101.815678010758
3023,SPRIN1, ,743,Spring Garden St,SPRING GARDEN ST,1,PUBLIC WAY, ,LO,0,0,743,3,3-03,3-03,0, ,307.051887617394
3024,SPRIN10, ,658,Spring Rd,SPRING RD,1,PRIVATE WAY, ,LO,0,0,658,6,2-06,2-06,0, ,271.097941059741
3025,SPRIN11, ,617,Springdale St,SPRINGDALE ST,1,PRIVATE WAY, ,LO,0,0,617,3,3-03,3-03,0, ,254.335450177051
3026,SPRIN2, ,709,Spring Hill Rd,SPRING HILL RD,1,PUBLIC WAY, ,LO,0,0,709,5,2-08,2-08,1, ,292.177590187657
3027,SPRIN3, ,1652,Spring Park Ave,SPRING PARK AV,1,PUBLIC WAY, ,CO,0,0,1652,6,2-02,2-02,0, ,680.467238074137
3028,SPRIN4, ,4536,Spring St,SPRING ST,1,PUBLIC WAY, ,AR,0,0,4536,6,2-06,2-06,0, ,1868.28800247154
3029,SPRIN5, ,406,Spring Valley Rd,SPRING VALLEY RD,1,PUBLIC WAY, ,LO,0,0,406,6,2-06,2-06,0, ,167.182686308052
3030,SPRIN6, ,301,Springer St,SPRINGER ST,1,PUBLIC WAY, ,LO,0,0,301,2,3-05,3-05,1, ,124.326339332147
3031,SPRIN7, ,243,Springvale Ave,SPRINGVALE AV,1,PUBLIC WAY, ,LO,0,0,243,6,2-06,2-06,0, ,100.151505196812
3032,SPRIN8, ,255,Spring Ln,SPRING LN BP,1,PUBLIC WAY, ,LO,0,0,255,1,1-1C,1-1C,1, ,105.136147417327
3033,SPRUC1, ,328,Spruce St,SPRUCE ST,1,PUBLIC WAY, ,LO,0,0,328,8,1-1B,1-1B,1, ,135.723563486695
3034,SPRUC2, ,98,Spruce Ct,SPRUCE CT,1,PRIVATE WAY, ,LO,0,0,98,8,1-1B,1-1B,1, ,40.4120286548578
3035,SPRUC3, ,81,Spruce Pl,SPRUCE PL,1,PRIVATE WAY, ,LO,0,0,81,8,1-1B,1-1B,1, ,33.2265416296879
3036,SPURR1, ,332,Spurr St,SPURR ST,1,PUBLIC WAY, ,AR,0,0,332,9,2-04,2-04,1, ,136.707966324563
3037,ST AL1, ,700,St Albans Rd,ST ALBANS RD,1,PUBLIC WAY, ,LO,0,0,700,8,1-10A,1-10A,0, ,289.163069934775
3038,ST AL2, ,2125,St Alphonsus St,ST ALPHONSUS ST,1,PUBLIC WAY, ,LO,0,0,2125,8,1-10A,1-10A,0, ,877.492404764838
3039,ST AN1, ,2119,St Andrew Rd,ST ANDREW RD,1,PUBLIC WAY, ,CO,0,0,2119,1,1-09,1-09,0, ,873.518247432524
3040,ST BO1, ,3284,St Botolph St,ST BOTOLPH ST,1,PUBLIC WAY, ,CO,0,0,3284,7,"1-10A, 1-1C","1-10A, 1-1C",1, ,1354.68091431271
3041,ST BR1, ,1350,St Brendan Rd,ST BRENDAN RD,1,PUBLIC WAY, ,LO,0,0,1350,3,3-07,3-07,0, ,557.026622789652
3042,ST CA1, ,647,St Casimir St,ST CASIMIR ST,1,PUBLIC WAY, ,LO,0,0,647,2,3-05,3-05,0, ,266.980637913466
3043,ST CE1, ,438,St Cecelia St,ST CECELIA ST,1,PUBLIC WAY, ,LO,0,0,438,8,1-1C,1-1C,0, ,181.15344607328
3044,ST CH1, ,238,St Charles St,ST CHARLES ST BP,1,PUBLIC WAY, ,LO,0,0,238,2,1-1C,1-1C,1, ,98.4916101185205
3045,ST CL1, ,213,St Clare Rd,ST CLARE RD,1,PUBLIC WAY, ,LO,0,0,213,3,3-07,3-07,1, ,88.0746172160468
3046,ST CY1, ,342,St Cyprian's Pl,ST CYPRIAN'S PL,1,PUBLIC WAY, ,LO,0,0,342,7,1-10B,1-10B,1, ,141.220790460865
3047,ST ED1, ,895,St Edward Rd,ST EDWARD RD,1,PUBLIC WAY, ,LO,0,0,895,1,1-09,1-09,1, ,369.966434832726
3048,ST FR1, ,369,St Francis De Sales Ct,ST FRANCIS DE SALES CT,1,PUBLIC WAY, ,LO,0,0,369,7,1-10B,1-10B,1, ,152.201204114331
3049,ST GE1, ,405,St George St,ST GEORGE ST,1,PUBLIC WAY, ,LO,0,0,405,2,1-1C,1-1C,0, ,166.881730679959
3050,ST GE2, ,802,St Germain St,ST GERMAIN ST,1,PUBLIC WAY, ,LO,0,0,802,8,1-1C,1-1C,1, ,330.489268037591
3051,ST GR1, ,1356,St Gregory St,ST GREGORY ST,1,PUBLIC WAY, ,LO,0,0,1356,3,3-07,3-07,0, ,557.92691208668
3052,ST JA1, ,1908,St James Ave,ST JAMES AV,1,PUBLIC WAY, ,AR,0,0,1908,2,1-1C,1-1C,0, ,786.1182612928
3053,ST JA2, ,1140,St James St,ST JAMES ST RX,1,PUBLIC WAY, ,LO,0,0,1140,7,1-10B,1-10B,0, ,469.567702113854
3054,ST JA3, ,200,St James Pl,ST JAMES PL,1,PRIVATE WAY, ,LO,0,0,200,7,1-10B,1-10B,0, ,82.5387884038848
3055,ST JO1, ,993,St John St,ST JOHN ST,1,PUBLIC WAY, ,LO,0,0,993,6,2-02,2-02,1, ,409.097438996244
3056,ST JO2, ,1083,St Joseph St,ST JOSEPH ST,1,PUBLIC WAY, ,LO,0,0,1083,6,2-02,2-02,0, ,445.944171603623
3057,ST JU1, ,123,St Jude Ter,ST JUDE TER,1,PRIVATE WAY, ,LO,0,0,123,3,3-07,3-07,1, ,50.7184180805656
3058,ST LU1, ,557,St Lukes Rd,ST LUKES RD,1,PUBLIC WAY, ,LO,0,0,557,9,2-04,2-04,1, ,230.124074721298
3059,ST MA1, ,1036,St Margaret St,ST MARGARET ST,1,PUBLIC WAY, ,CO,0,0,1036,2,3-03,3-03,0, ,426.540195902172
3060,ST MA2, ,190,St Mark St,ST MARK ST,1,PRIVATE WAY, ,LO,0,0,190,6,2-02,2-02,0, ,78.2635677511997
3061,ST MA3, ,1628,St Mark's Rd,ST MARKS RD,1,PUBLIC WAY, ,LO,0,0,1628,3,3-07,3-07,1, ,670.347057930139
3062,ST MA4, ,310,St Martin St,ST MARTIN ST (S),1,PUBLIC WAY, ,LO,0,0,575,1,1-1A,1-1A,0, ,128.078891340049
3063,ST MA5, ,129,St Mary's St,ST MARY'S ST,1,PUBLIC WAY, ,LO,0,0,129,8,1-10A,1-10A,1, ,53.2163173750383
3064,ST PE1, ,524,St Peter St,ST PETER ST,1,PUBLIC WAY, ,LO,0,0,524,6,2-02,2-02,0, ,216.070687816862
3065,ST RI1, ,395,St Richard St,ST RICHARD ST,1,PUBLIC WAY, ,LO,0,0,395,7,1-10B,1-10B,1, ,162.834341558164
3066,ST RO1, ,450,St Rose St,ST ROSE ST E,1,PUBLIC WAY, ,LO,0,0,450,6,2-02,2-02,1, ,185.278209051047
3067,ST RO2, ,1185,St Rose St,ST ROSE ST W,1,PUBLIC WAY, ,LO,0,0,1185,6,2-02,2-02,0, ,488.578228326928
3068,ST ST1, ,1316,St Stephen St,ST STEPHEN ST,1,PUBLIC WAY, ,LO,0,0,1316,8,"1-10A, 1-1C","1-10A, 1-1C",1, ,542.779829258935
3069,ST TH2, ,284,St Thomas More Rd,ST THOMAS MORE R,1,DCR, ,LO,0,0,284,9,2-04,2-04,0, ,117.237809594353
3070,ST WI1, ,366,St William St,ST WILLIAM ST,1,PUBLIC WAY, ,LO,0,0,366,3,3-03,3-03,0, ,150.615151398388
3071,STACE1, ,112,Stacey St,STACEY ST,1,PUBLIC WAY, ,LO,0,0,112,1,1-1A,1-1A,1, ,46.3276427403768
3072,STADI1, ,607,Stadium Rd,STADIUM RD,1,PRIVATE WAY, ,LO,0,0,607,9,2-04,2-04,0, ,250.508196354914
3073,STAFF1, ,331,Stafford St,STAFFORD ST,1,PUBLIC WAY, ,LO,0,0,331,7,3-03,3-03,0, ,136.373271310656
3074,STANB1, ,1630,Stanbro St,STANBRO ST,1,PUBLIC WAY, ,LO,0,0,1630,5,2-08,2-08,1, ,670.403340095586
3075,STAND1, ,2360,Standard St,STANDARD ST,1,PUBLIC WAY, ,LO,0,0,2360,4,3-07,3-07,0, ,973.556736451575
3076,STAND2, ,854,Standish St,STANDISH ST,1,PUBLIC WAY, ,LO,0,0,854,4,3-03,3-03,1, ,352.674449816882
3077,STANH1, ,984,Stanhope St,STANHOPE ST,1,PUBLIC WAY, ,LO,0,0,984,2,1-1C,1-1C,0, ,405.638054754039
3078,STANH2, ,73,Stanhope Ct,STANHOPE CT,1,PRIVATE WAY, ,LO,0,0,73,2,1-1C,1-1C,0, ,30.0070801820114
3079,STANI1, ,1016,Staniford St,STANIFORD ST,1,PUBLIC WAY, ,LO,0,0,1068,8,1-1B,1-1B,0, ,420.0112455221
3080,STANL1, ,1046,Stanley St,STANLEY ST,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,1046,3,3-03,3-03,0, ,431.796918072526
3081,STANT1, ,1135,Stanton St,STANTON ST,1,PUBLIC WAY, ,LO,0,0,1135,4,3-07,3-07,1, ,468.389929667334
3082,STANW1, ,1852,Stanwood St,STANWOOD ST,1,PUBLIC WAY, ,LO,0,0,1852,4,3-03,3-03,1, ,763.271873745303
3083,STANW2, ,146,Stanwood Ter,STANWOOD TER,1,PRIVATE WAY, ,LO,0,0,146,4,3-03,3-03,0, ,60.2714034045914
3084,STARB1, ,908,Starbird Ave,STARBIRD AV,1,PRIVATE WAY, ,LO,0,0,908,5,2-02,2-02,0, ,374.407077989471
3085,STARK1, ,220,Stark St,STARK ST,1,PUBLIC WAY, ,LO,0,0,220,1,1-1A,1-1A,1, ,91.1426317028687
3086,STARR1, ,812,Starr Ln,STARR LN,1,PUBLIC WAY, ,LO,0,0,812,6,2-02,2-02,0, ,334.46727523357
3087,STARR2, ,369,Starr King Ct,STARR KING CT,1,PRIVATE WAY, ,LO,0,0,369,1,1-1A,1-1A,1, ,152.635875829473
3088,STATE1, ,1666,State St,STATE ST,1,PUBLIC WAY, ,AR,0,0,1666,1,1-1C,1-1C,1, ,686.179580090056
3089,STATI1, ,511,Station St,STATION ST,1,PUBLIC WAY, ,LO,0,0,511,7,1-10A,1-10A,0, ,210.656427357979
3090,STEAR1, ,959,Stearns Rd,STEARNS RD,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,959,6,2-06,2-06,0, ,385.976640206317
3091,STEDM1, ,854,Stedman St,STEDMAN ST,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,854,6,2-02,2-02,0, ,352.321184498145
3092,STELL1, ,937,Stellman Rd,STELLMAN RD,1,PUBLIC WAY, ,LO,0,0,937,5,2-02,2-02,0, ,385.734754357936
3093,STELL2, ,1159,Stella Rd,STELLA RD,1,PRIVATE WAY, ,LO,0,0,1159,5,2-02,2-02,0, ,477.118561216896
3094,STILL1, ,506,Stillman St,STILLMAN ST,1,PUBLIC WAY, ,LO,0,0,630,1,1-1B,1-1B,1, ,208.580449254561
3095,STILL2, ,634,Stillings St,STILLINGS ST,1,PRIVATE WAY, ,LO,0,0,634,2,3-05,3-05,0, ,261.912793111949
3096,STILL3, ,173,Stillman Pl,STILLMAN PL,1,PRIVATE WAY, ,LO,0,0,222,1,1-1B,1-1B,1, ,71.4796087038025
3097,STIMS1, ,3240,Stimson St,STIMSON ST,1,PUBLIC WAY, ,CO,0,0,3240,6,2-06,2-06,0, ,1333.36274311001
3098,STIMS2, ,506,Stimson Rd,STIMSON RD,1,PRIVATE WAY, ,LO,0,0,506,6,2-06,2-06,0, ,208.676842490013
3099,STOCK1, ,486,Stock St,STOCK ST,1,PUBLIC WAY, ,LO,0,0,486,3,3-07,3-07,0, ,200.694947130621
3100,STOCK2, ,1312,Stockton St,STOCKTON ST,1,PUBLIC WAY, ,LO,0,0,1312,4,3-07,3-07,0, ,539.878290295156
3101,STOCK3, ,425,Stockwell St,STOCKWELL ST,1,PUBLIC WAY, ,LO,0,0,425,8,1-10A,1-10A,1, ,175.243297711309
3102,STONE1, ,1076,Stonehill Rd,STONEHILL RD,1,PUBLIC WAY, ,LO,0,0,1076,5,2-08,2-08,0, ,443.423365828355
3103,STONE2, ,153,Stonehill Ter,STONEHILL TR,1,PUBLIC WAY, ,LO,0,0,153,5,2-08,2-08,0, ,63.1067962142316
3104,STONE3, ,325,Stoneholm St,STONEHOLM ST,1,PUBLIC WAY, ,LO,0,0,325,8,1-10A,1-10A,1, ,134.095429790949
3105,STONE4, ,803,Stonehurst St,STONEHURST ST,1,PUBLIC WAY, ,LO,0,0,803,4,3-03,3-03,0, ,331.212245673267
3106,STONE6, ,216,Stone Ter,STONE TER,1,PUBLIC WAY, ,LO,0,0,216,3,3-07,3-07,1, ,89.0854161398059
3107,STONE7, ,876,Stonecrest Rd,STONECREST RD,1,PRIVATE WAY, ,LO,0,0,876,5,3-07,3-07,1, ,360.761435196261
3108,STONL1, ,437,Stonley Rd,STONLEY RD,1,PUBLIC WAY, ,LO,0,0,437,6,2-02,2-02,1, ,180.075138239053
3109,STORE1, ,322,Storey Pl,STOREY PL,1,PRIVATE WAY, ,LO,0,0,322,6,2-02,2-02,0, ,132.8853865082
3110,STORY1, ,730,Story St,STORY ST,1,PUBLIC WAY, ,LO,0,0,730,2,3-05,3-05,0, ,300.49488920677
3111,STOUG1, ,1608,Stoughton St,STOUGHTON ST,1,PUBLIC WAY, ,AR,0,0,1608,3,3-03,3-03,0, ,662.695746981582
3112,STOUG2, ,167,Stoughton Street Pl,STOUGHTON ST PL,1,PUBLIC WAY, ,LO,0,0,167,7,3-03,3-03,0, ,68.8199906096109
3113,STOUG3, ,195,Stoughton Ter,STOUGHTON TER,1,PRIVATE WAY, ,LO,0,0,195,3,3-03,3-03,0, ,80.3745120702666
3114,STOW 1, ,659,Stow Rd,STOW RD,1,PUBLIC WAY, ,LO,0,0,659,4,3-07,3-07,1, ,271.571328720894
3115,STRAT1, ,4036,Stratford St,STRATFORD ST,1,PUBLIC WAY, ,CO,0,0,4036,6,2-06,2-06,0, ,1663.37557220685
3116,STRAT2, ,405,Strathcona Rd,STRATHCONA RD,1,PUBLIC WAY, ,LO,0,0,405,4,3-03,3-03,0, ,166.995553738687
3117,STRAT3, ,2741,Strathmore Rd,STRATHMORE RD,1,PUBLIC WAY, ,LO,0,0,2741,9,2-04,2-04,1, ,1130.02633216143
3118,STRAT4, ,2281,Stratton St,STRATTON ST,1,PUBLIC WAY, ,LO,0,0,2281,4,3-07,3-07,1, ,940.066460283001
3119,STRON1, ,98,Strong Pl,STRONG PL,1,PRIVATE WAY, ,LO,0,0,98,8,1-1B,1-1B,1, ,40.4501522830123
3120,STUAR1, ,4303,Stuart St,STUART ST,1,PUBLIC WAY, ,AR,0,0,4303,2,1-1C,1-1C,1, ,1772.47840116256
3121,STURB1, ,837,Sturbridge St,STURBRIDGE ST,1,PUBLIC WAY, ,LO,0,0,837,3,3-07,3-07,0, ,345.347840210021
3122,STURG1, ,604,Sturges Rd,STURGES RD,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,604,6,2-06,2-06,0, ,249.025859483602
3123,STURT1, ,906,Sturtevant St,STURTEVANT ST,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,906,3,3-07,3-07,1, ,374.220162692598
3124,SUDAN1, ,1141,Sudan St,SUDAN ST,1,PUBLIC WAY, ,LO,0,0,1141,3,3-03,3-03,0, ,469.835669083727
3125,SUDBU1, ,1514,Sudbury St,SUDBURY ST,1,PUBLIC WAY, ,AR,0,0,1226,1,1-1B,1-1B,1, ,624.417879898762
3126,SULLI1, ,1106,Sullivan St,SULLIVAN ST,1,PUBLIC WAY, ,LO,0,0,1106,1,1-1A,1-1A,1, ,456.702982848109
3127,SULLI2, ,1071, ,SULLIVAN SQ,1,STATE, ,LO,0,0,1071,1,1-1A,1-1A,1, ,442.169503015311
3128,SUMME1, ,2584,Summer St,SUMMER ST BP,1,PUBLIC WAY, ,AR,0,0,2584,2,1-1C,1-1C,1, ,620.454903065883
3129,SUMME10, ,2565,Summer St,SUMMER ST SB,1,PUBLIC WAY, ,LO,0,0,2565,2,3-05,3-05,0, ,1059.35952499825
3130,SUMME2, ,218,Summer St,SUMMER ST CH,1,PUBLIC WAY, ,LO,0,0,218,1,1-1A,1-1A,1, ,90.1197878772739
3131,SUMME3, ,2424,Summer St,SUMMER ST HP,1,PUBLIC WAY, ,CO,0,0,2424,5,2-08,2-08,0, ,1000.08713439839
3132,SUMME4, ,4918,Summer St,SUMMER ST SB WB,1,PUBLIC WAY, ,AR,0,0,4918,2,3-05,3-05,0, ,2027.53824061444
3133,SUMME5, ,988,Summer St,SUMMER ST WR,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,847,6,2-06,2-06,0, ,407.500120836311
3134,SUMME7, ,95,Summer Street Ct,SUMMER STREET CT,1,PRIVATE WAY, ,LO,0,0,95,1,1-1A,1-1A,1, ,39.3395477032067
3135,SUMME8, ,252,Summer Street Pl,SUMMER ST PL,1,PRIVATE WAY, ,LO,0,0,252,5,2-08,2-08,0, ,103.745892365318
3136,SUMME9, ,4915,Summer St,SUMMER ST SB EB,1,PUBLIC WAY, ,LO,0,0,4915,2,3-05,3-05,1, ,2026.33854147511
3137,SUMMI1, ,1129,Summit Ave,SUMMIT AV,1,PUBLIC WAY, ,LO,0,0,1129,9,2-04,2-04,0, ,465.401761469744
3138,SUMMI2, ,191,Summit Cir,SUMMIT CIR,1,PRIVATE WAY, ,LO,0,0,191,5,2-08,2-08,0, ,78.5743342680279
3139,SUMMI3, ,2878,Summit St,SUMMIT ST,1,PUBLIC WAY, ,CO,0,0,2878,5,2-08,2-08,0, ,1184.85054640807
3140,SUMNE1, ,201,Sumner Park,SUMNER PK,1,PUBLIC WAY, ,LO,0,0,201,7,3-03,3-03,0, ,82.9374738590769
3141,SUMNE2, ,4832,Sumner St,SUMNER ST EB,1,PUBLIC WAY, ,AR,0,0,4832,1,1-09,1-09,1, ,1992.2963479097
3142,SUMNE3, ,1510,Sumner St,SUMNER ST DO,1,PUBLIC WAY, ,LO,0,0,1510,3,3-03,3-03,0, ,623.66851929334
3143,SUMNE4, ,210,Sumner Ter,SUMNER TER,1,PUBLIC WAY, ,LO,0,0,210,7,3-03,3-03,1, ,86.3778771329403
3144,SUMNE5, ,207,Sumner Ave,SUMNER AV,1,PRIVATE WAY, ,LO,0,0,207,5,2-06,2-06,1, ,85.3379508011795
